title,video_id,url,published_at
"Michael Jackson - Heaven Can Wait (Official Audio)",TDVlDUAIz5k,https://www.youtube.com/watch?v=TDVlDUAIz5k,2019-09-04T18:25:33Z
"Michael Jackson - You Are My Life (Audio)",1KE0YkNusew,https://www.youtube.com/watch?v=1KE0YkNusew,2019-09-04T18:22:49Z
"Michael Jackson - Don't Walk Away (Audio)",8OVAbsEhKQw,https://www.youtube.com/watch?v=8OVAbsEhKQw,2019-09-04T18:22:25Z
"Michael Jackson - Behind the Mask (Official Video)",5bOkWTprifg,https://www.youtube.com/watch?v=5bOkWTprifg,2018-08-04T05:27:17Z
"Michael Jackson - Blood On The Dance Floor 2017 (Official Video)",rDKjb2VhLqg,https://www.youtube.com/watch?v=rDKjb2VhLqg,2017-12-14T12:00:04Z
"Michael Jackson - Blood On The Dance Floor X Dangerous (The White Panda Mash-Up)",CNwYcyRAl1Y,https://www.youtube.com/watch?v=CNwYcyRAl1Y,2017-10-12T14:29:21Z
"Michael Jackson - Thriller (Steve Aoki Midnight Hour Remix) (Audio)",b0RyiTp8gSA,https://www.youtube.com/watch?v=b0RyiTp8gSA,2017-09-29T07:00:01Z
"Michael Jackson - Threatened (Audio)",g8n5IrTU6mU,https://www.youtube.com/watch?v=g8n5IrTU6mU,2017-03-01T08:00:28Z
"Michael Jackson - We've Had Enough (Audio)",XzvwgDhwp3I,https://www.youtube.com/watch?v=XzvwgDhwp3I,2017-03-01T08:00:04Z
"Michael Jackson - This Time Around (Audio)",uXFSjcjK73M,https://www.youtube.com/watch?v=uXFSjcjK73M,2017-02-27T08:00:10Z
"Michael Jackson - The Lost Children (Audio)",1UoPNNzWUjk,https://www.youtube.com/watch?v=1UoPNNzWUjk,2017-02-27T08:00:01Z
"Michael Jackson - Tabloid Junkie (Audio)",loCFx_eelXE,https://www.youtube.com/watch?v=loCFx_eelXE,2017-02-24T08:00:04Z
"Michael Jackson - The Girl Is Mine (Audio) ft. Paul McCartney",8GB9BULxZ8c,https://www.youtube.com/watch?v=8GB9BULxZ8c,2017-02-24T08:00:00Z
"Michael Jackson - Speechless (Audio)",csARzcsjark,https://www.youtube.com/watch?v=csARzcsjark,2017-02-22T08:00:06Z
"Michael Jackson - Privacy (Audio)",IAX8rVcbUIQ,https://www.youtube.com/watch?v=IAX8rVcbUIQ,2017-02-22T08:00:01Z
"Michael Jackson - Morphine (Audio)",K_G5DLYRz6M,https://www.youtube.com/watch?v=K_G5DLYRz6M,2017-02-20T08:00:01Z
"Michael Jackson - P.Y.T. (Pretty Young Thing) (Official Audio)",1ZZQuj6htF4,https://www.youtube.com/watch?v=1ZZQuj6htF4,2017-02-20T08:00:00Z
"Michael Jackson - Is It Scary (Audio)",ctTmETTRSPA,https://www.youtube.com/watch?v=ctTmETTRSPA,2017-02-17T08:00:05Z
"Michael Jackson - Money (Audio)",I3XRCfet0Lc,https://www.youtube.com/watch?v=I3XRCfet0Lc,2017-02-17T08:00:02Z
"Michael Jackson - Invincible (Audio)",kXzM0zmDEek,https://www.youtube.com/watch?v=kXzM0zmDEek,2017-02-15T08:00:04Z
"Michael Jackson, Siedah Garrett - I Just Can't Stop Loving You (Official Audio)",GAmVuYEeSSg,https://www.youtube.com/watch?v=GAmVuYEeSSg,2017-02-15T08:00:01Z
"Michael Jackson - Butterflies (Audio)",csvNBRZfFpo,https://www.youtube.com/watch?v=csvNBRZfFpo,2017-02-13T08:00:05Z
"Michael Jackson - D.S. (Audio)",SHWpLfZzGU0,https://www.youtube.com/watch?v=SHWpLfZzGU0,2017-02-13T08:00:03Z
"Michael Jackson - Break of Dawn (Official Audio)",O8ELJ_Eh8A0,https://www.youtube.com/watch?v=O8ELJ_Eh8A0,2017-02-13T08:00:02Z
"Michael Jackson - Bad (Official Video)",Sd4SJVsTulc,https://www.youtube.com/watch?v=Sd4SJVsTulc,2017-01-27T18:15:27Z
"Michael Jackson - Black or White (Official Video - Upscaled)",pTFE8cirkdQ,https://www.youtube.com/watch?v=pTFE8cirkdQ,2016-11-14T08:00:04Z
"Michael Jackson - Keep the Faith (Audio)",vIEiP7kzGjI,https://www.youtube.com/watch?v=vIEiP7kzGjI,2016-11-02T07:00:03Z
"Michael Jackson - Can't Let Her Get Away (Audio)",Mxr21_VrNNs,https://www.youtube.com/watch?v=Mxr21_VrNNs,2016-11-02T07:00:02Z
"Michael Jackson - She Drives Me Wild (Audio)",kRp_FqCmsVA,https://www.youtube.com/watch?v=kRp_FqCmsVA,2016-11-02T07:00:02Z
"Michael Jackson - Dangerous (Audio)",7jTq2FXKr0g,https://www.youtube.com/watch?v=7jTq2FXKr0g,2016-11-02T07:00:00Z
"Michael Jackson - Why You Wanna Trip on Me (Audio)",C2FUzoy-UCg,https://www.youtube.com/watch?v=C2FUzoy-UCg,2016-11-02T07:00:00Z
"Michael Jackson - Who Is It (Official Video - Upscaled)",PfrV_6yWbEg,https://www.youtube.com/watch?v=PfrV_6yWbEg,2016-10-28T22:48:23Z
"Michael Jackson - It's the Falling in Love (Audio)",D8DE_cvnGXQ,https://www.youtube.com/watch?v=D8DE_cvnGXQ,2016-02-04T08:00:01Z
"Michael Jackson - Workin' Day and Night (Audio)",MWnyCxva6bA,https://www.youtube.com/watch?v=MWnyCxva6bA,2016-02-04T08:00:01Z
"Michael Jackson - Get on the Floor (Audio)",UdYwglFL6iM,https://www.youtube.com/watch?v=UdYwglFL6iM,2016-02-04T08:00:01Z
"Michael Jackson - A Place With No Name (Official Video)",YlJvMU-5NyA,https://www.youtube.com/watch?v=YlJvMU-5NyA,2014-08-14T14:00:07Z
"Michael Jackson - Love Never Felt So Good (Official Video)",GJDdBbgJafU,https://www.youtube.com/watch?v=GJDdBbgJafU,2014-06-19T23:00:02Z
